0,0
0.2,0.003554
0.4,-0.009468
0.6,-0.047425
0.8,-0.080447
1,-0.059537
1.2,0.04412
1.4,0.19027
1.6,0.22341
1.8,-0.020951
2,-0.62221
2.2,-1.4608
2.4,-2.2468
2.6,-2.6433
2.8,-2.4425
3,-1.6549
3.2,-0.49453
3.4,0.75147
3.6,1.8476
3.8,2.6685
4,3.213
4.2,3.589
4.4,3.9333
4.6,4.3499
4.8,4.8521
5,5.2855
5.2,5.4193
5.4,5.0535
5.6,4.0668
5.8,2.4874
6,0.42642
6.2,-1.966
6.4,-4.4868
6.6,-6.8506
6.8,-8.7233
7,-9.8188
7.2,-10.065
7.4,-9.6563
7.6,-8.9667
7.8,-8.3403
8,-7.9584
8.2,-7.8215
8.4,-7.8656
8.6,-8.0195
8.8,-8.1721
9,-8.1142
9.2,-7.5214
9.4,-6.1455
9.6,-4.0255
9.8,-1.5017
10,0.93715
10.2,2.8942
10.4,4.2313
10.6,4.996
10.8,5.2672
11,5.0314
11.2,4.2015
11.4,2.7526
11.6,0.78538
11.8,-1.477
12,-3.7792
12.2,-5.8782
12.4,-7.5328
12.6,-8.4818
12.8,-8.52
13,-7.5782
13.2,-5.789
13.4,-3.4764
13.6,-1.0416
13.8,1.1416
14,2.8482
14.2,4.0235
14.4,4.7748
14.6,5.2839
14.8,5.6931
15,6.0167
15.2,6.122
15.4,5.7931
15.6,4.8695
15.8,3.316
16,1.2589
16.2,-1.0485
16.4,-3.3057
16.6,-5.2196
16.8,-6.5454
17,-7.1161
17.2,-6.8511
17.4,-5.7914
17.6,-4.072
17.8,-1.9408
18,0.29059
18.2,2.3097
18.4,3.8825
18.6,4.9498
18.8,5.614
19,6.0459
19.2,6.3641
19.4,6.5067
19.6,6.2654
19.8,5.4155
20,3.863
20.2,1.7359
20.4,-0.65026
20.6,-2.912
20.8,-4.6854
21,-5.7074
21.2,-5.8346
21.4,-5.0557
21.6,-3.516
21.8,-1.4803
22,0.67919
22.2,2.5997
22.4,4.0496
22.6,4.9965
22.8,5.5957
23,6.0357
23.2,6.4082
23.4,6.605
23.6,6.3863
23.8,5.5176
24,3.9357
24.2,1.7821
24.4,-0.66791
24.6,-3.1041
24.8,-5.234
25,-6.752
25.2,-7.3727
25.4,-6.8843
25.6,-5.3053
25.8,-2.9436
26,-0.32526
26.2,1.9939
26.4,3.6699
26.6,4.651
26.8,5.1557
27,5.478
27.2,5.8386
27.4,6.268
27.6,6.6187
27.8,6.6311
28,6.0545
28.2,4.7781
28.4,2.8658
28.6,0.56027
28.8,-1.827
29,-3.9745
29.2,-5.6077
29.4,-6.4857
29.6,-6.4216
29.8,-5.3552
30,-3.4163
30.2,-0.96994
30.4,1.4918
30.6,3.5042
30.8,4.8362
31,5.5415
31.2,5.8791
31.4,6.1297
31.6,6.4076
31.8,6.6284
32,6.5533
32.2,5.9529
32.4,4.7155
32.6,2.8991
32.8,0.69335
33,-1.6609
33.2,-3.8864
33.4,-5.7063
33.6,-6.8351
33.8,-7.0455
34,-6.2333
34.2,-4.5083
34.4,-2.1978
34.6,0.21509
34.8,2.2887
35,3.7912
35.2,4.7323
35.4,5.2974
35.6,5.6614
35.8,5.8606
36,5.7727
36.2,5.2168
36.4,4.0815
36.6,2.3899
36.8,0.30505
37,-1.9622
37.2,-4.1704
37.4,-6.0679
37.6,-7.386
37.8,-7.8943
38,-7.4638
38.2,-6.1316
38.4,-4.1336
38.6,-1.8371
38.8,0.38485
39,2.2905
39.2,3.785
39.4,4.8739
39.6,5.572
39.8,5.8168
40,5.4762
40.2,4.4462
40.4,2.7091
40.6,0.43134
40.8,-2.0653
41,-4.389
41.2,-6.1919
41.4,-7.2471
41.6,-7.458
41.8,-6.8591
42,-5.5629
42.2,-3.721
42.4,-1.5562
42.6,0.65892
42.8,2.6344
43,4.1461
43.2,5.1055
43.4,5.5748
43.6,5.7122
43.8,5.6817
44,5.5536
44.2,5.3622
44.4,5.1283
44.6,4.9275
44.8,4.8439
45,4.9383
45.2,5.2076
45.4,5.6047
45.6,6.0699
45.8,6.4841
46,6.6705
46.2,6.4088
46.4,5.4748
46.6,3.6952
46.8,0.99966
47,-2.5646
47.2,-6.8286
47.4,-11.432
47.6,-15.842
47.8,-19.408
48,-21.582
48.2,-22.087
48.4,-20.974
48.6,-18.567
48.8,-15.297
49,-11.557
49.2,-7.7162
49.4,-4.1313
49.6,-1.1426
49.8,1.0016
50,2.2565
50.2,2.7976
50.4,2.9369
50.6,2.943
50.8,2.9571
51,2.9946
51.2,3.0089
51.4,2.992
51.6,3.0217
51.8,3.2216
52,3.6803
52.2,4.3655
52.4,5.0907
52.6,5.5512
52.8,5.4438
53,4.6064
53.2,3.0999
53.4,1.1363
53.6,-1.0579
53.8,-3.3326
54,-5.6365
54.2,-7.915
54.4,-10.018
54.6,-11.735
54.8,-12.883
55,-13.42
55.2,-13.474
55.4,-13.262
55.6,-12.967
55.8,-12.691
56,-12.468
56.2,-12.279
56.4,-12.084
56.6,-11.879
56.8,-11.696
57,-11.63
57.2,-11.731
57.4,-11.906
57.6,-11.852
57.8,-11.134
58,-9.4379
58.2,-6.8004
58.4,-3.6721
58.6,-0.69429
58.8,1.6213
59,3.1232
59.2,4.0117
59.4,4.598
59.6,5.0216
59.8,5.1652
60,4.7468
60.2,3.5854
60.4,1.8103
60.6,-0.15692
